"상권별(1)","상권별(2)",상권별(3),항목,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4,2025.4/4,2026.1/4
"서울","소계(기타지역)",가락시장,순영업소득 (%),-56.3,78.7,83.4,83.3,-22.3,83.3,82.4
"서울","소계(기타지역)",가락시장,순영업소득 (천원/㎡),-33.6,58.6,61.9,61.5,-17.4,61.5,57.9
"서울","소계(기타지역)",건대입구,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",건대입구,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",건대입구,운영경비 (%),30.0,6.2,9.3,10.9,44.6,5.8,4.4
"서울","소계(기타지역)",건대입구,순영업소득 (%),70.0,93.8,90.7,89.1,55.4,94.2,95.6
"서울","소계(기타지역)",건대입구,순영업소득 (천원/㎡),71.3,95.8,88.5,74.5,44.1,76.0,90.0
"서울","소계(기타지역)",경희대,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",경희대,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",경희대,운영경비 (%),33.1,9.3,9.3,9.4,37.9,10.1,11.4
"서울","소계(기타지역)",경희대,순영업소득 (%),66.9,90.7,90.7,90.6,62.1,89.9,88.6
"서울","소계(기타지역)",경희대,순영업소득 (천원/㎡),71.7,98.3,98.0,97.4,63.9,99.3,98.0
"서울","소계(기타지역)",군자,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",군자,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",군자,운영경비 (%),41.9,9.3,8.8,10.0,49.4,8.8,7.8
"서울","소계(기타지역)",군자,순영업소득 (%),58.1,90.7,91.2,90.0,50.6,91.2,92.2
"서울","소계(기타지역)",군자,순영업소득 (천원/㎡),43.2,65.5,65.3,64.1,36.3,69.5,70.7
"서울","소계(기타지역)",까치산역,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",까치산역,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",까치산역,운영경비 (%),36.4,7.1,7.1,7.6,37.1,7.7,7.7
"서울","소계(기타지역)",까치산역,순영업소득 (%),63.6,92.9,92.9,92.4,62.9,92.3,92.3
"서울","소계(기타지역)",까치산역,순영업소득 (천원/㎡),36.0,52.7,52.2,48.9,34.9,51.7,51.8
"서울","소계(기타지역)",노량진,임대수입 (%),100.0,100.0,100.0,100.0,100.0,100.0,100.0
"서울","소계(기타지역)",노량진,기타수입 (%),0.0,0.0,0.0,0.0,0.0,0.0,0.0
"서울","소계(기타지역)",노량진,운영경비 (%),53.7,20.4,20.9,19.5,59.3,23.5,19.5
"서울","소계(기타지역)",노량진,순영업소득 (%),46.3,79.6,79.1,80.5,40.7,76.5,80.5
"서울","소계(기타지역)",노량진,순영업소득 (천원/㎡),31.7,55.0,53.3,56.4,28.1,53.5,56.5
"서울","소계(기타지역)",독산/시흥,임대수입 (%),99.8,99.8,99.8,99.8,99.8,99.8,99.8
"서울","소계(기타지역)",독산/시흥,기타수입 (%),0.2,0.2,0.2,0.2,0.2,0.2,0.2
"서울","소계(기타지역)",독산/시흥,운영경비 (%),48.6,8.8,9.2,8.8,49.5,7.7,8.7
"서울","소계(기타지역)",독산/시흥,순영업소득 (%),51.4,91.2,90.8,91.2,50.5,92.3,91.3
"서울","소계(기타지역)",독산/시흥,순영업소득 (천원/㎡),37.9,67.0,69.9,69.9,38.3,71.5,65.9
"서울","소계(기타지역)",뚝섬,임대수입 (%),98.4,98.4,99.7,99.7,99.7,99.7,99.7
"서울","소계(기타지역)",뚝섬,기타수입 (%),1.6,1.6,0.3,0.3,0.3,0.3,0.3
"서울","소계(기타지역)",뚝섬,운영경비 (%),24.8,3.6,4.8,7.4,29.2,8.3,8.2
"서울","소계(기타지역)",뚝섬,순영업소득 (%),75.2,96.4,95.2,92.6,70.8,91.7,91.8
"서울","소계(기타지역)",뚝섬,순영업소득 (천원/㎡),82.0,108.2,107.5,103.6,75.6,106.0,95.9
"서울","소계(기타지역)",목동,임대수입 (%),97.3,97.3,97.3,97.3,97.3,97.4,97.4
"서울","소계(기타지역)",목동,기타수입 (%),2.7,2.7,2.7,2.7,2.7,2.6,2.6
"서울","소계(기타지역)",목동,운영경비 (%),35.0,9.9,10.0,10.0,32.6,9.7,9.3
"서울","소계(기타지역)",목동,순영업소득 (%),65.0,90.1,90.0,90.0,67.4,90.3,90.7
"서울","소계(기타지역)",목동,순영업소득 (천원/㎡),58.1,82.1,81.7,81.4,61.3,84.0,84.7
